province,subject_group,batch,university_code,university_name,group_code,major_code,major_name,plan_count,tuition,lowest_score_2024,lowest_rank_2024,school_type
广东,历史类,本科批,10351,温州大学,201,201_001,温州大学组201,6,6000,539.0,18913.0,普通本科
广东,历史类,本科批,10351,温州大学,202,202_001,温州大学组202,2,6000,525.0,24986.0,普通本科
广东,历史类,本科批,10351,温州大学,203,203_001,温州大学组203,2,6000,532.0,21871.0,普通本科
广东,历史类,本科批,10353,浙江工商大学,201,201_001,浙江工商大学组201,17,6000,541.0,17977.0,普通本科
广东,历史类,本科批,10353,试浙江工商大学,202,202_001,试浙江工商大学组202,4,6000,537.0,0.0,普通本科
广东,历史类,本科批,10355,中国美术学院,201,201_001,中国美术学院组201,7,6000,535.0,20680.0,普通本科
广东,历史类,本科批,10355,中国美术学院,204,204_001,中国美术学院组204,9,6000,554.0,13218.0,普通本科
广东,历史类,本科批,10357,考安徽大学,201,201_001,考安徽大学组201,21,6000,569.0,8777.0,211
广东,历史类,本科批,10359,合肥工业大学,201,201_001,合肥工业大学组201,5,6000,571.0,8441.0,211
广东,历史类,本科批,10359,合肥工业大学,202,202_001,合肥工业大学组202,7,6000,582.0,5973.0,211
广东,历史类,本科批,10360,育安徽工业大学,201,201_001,育安徽工业大学组201,2,6000,518.0,28661.0,211
广东,历史类,本科批,10364,安徽农业大学,201,201_001,安徽农业大学组201,2,6000,518.0,28639.0,211
广东,历史类,本科批,10372,教安庆师范大学,201,201_001,教安庆师范大学组201,5,6000,498.0,40093.0,普通本科
广东,历史类,本科批,10373,淮北师范大学,201,201_001,淮北师范大学组201,1,6000,539.0,18767.0,普通本科
广东,历史类,本科批,10373,淮北师范大学,202,202_001,淮北师范大学组202,3,6000,512.0,32015.0,普通本科
广东,历史类,本科批,10373,省淮北师范大学,203,203_001,省淮北师范大学组203,3,6000,526.0,24479.0,普通本科
广东,历史类,本科批,10377,滁州学院,201,201_001,滁州学院组201,18,6000,494.0,42618.0,普通本科
广东,历史类,本科批,10377,滁州学院,202,202_001,滁州学院组202,0,6000,494.0,42631.0,普通本科
广东,历史类,本科批,10378,安徽财经大学,201,201_001,安徽财经大学组201,6,6000,523.0,25893.0,211
广东,历史类,本科批,10378,安徽财经大学,202,202_001,安徽财经大学组202,8,6000,533.0,21546.0,211
广东,历史类,本科批,10383,铜陵学院,201,201_001,铜陵学院组201,13,6000,490.0,45206.0,普通本科
广东,历史类,本科批,10384,厦门大学,201,201_001,厦门大学组201,19,6000,616.0,1403.0,985
广东,历史类,本科批,10384,厦门大学,202,202_001,厦门大学组202,4,6000,630.0,558.0,985
广东,历史类,本科批,10384,厦门大学(马来西亚分校),203,203_001,厦门大学(马来西亚分校)组203,11,6000,590.0,4367.0,985
广东,历史类,本科批,10385,华侨大学,201,201_001,华侨大学组201,66,6000,531.0,22407.0,普通本科
广东,历史类,本科批,10385,华侨大学,204,204_001,华侨大学组204,2,6000,548.0,0.0,普通本科
